name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
chicago,2021-08-01,75.6,66.5,71.4,75.6,66.5,71.4,57.8,63.3,0,0,0,,0,0,24.9,16.4,17.8,1016,26.8,9.3,134.2,11.6,7,,2021-08-01T05:44:36,2021-08-01T20:08:30,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,C8740,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2021-08-02,75.9,62.1,69.9,75.9,62.1,69.9,53.6,58.1,0,0,0,,0,0,17,9.2,51.1,1020.2,47.1,9.9,103.5,9,6,,2021-08-02T05:45:36,2021-08-02T20:07:20,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,AP878,C8740,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2021-08-03,80.7,62.5,72.8,80.2,62.5,72.8,53.6,52.6,0,0,0,,0,0,12.8,8,82.9,1018.6,43.4,9.9,108.1,9.3,6,,2021-08-03T05:46:37,2021-08-03T20:06:10,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2021-08-04,83.6,64.4,75,82.1,64.4,74.6,54.3,50.6,0,0,0,,0,0,11.9,8.8,95.8,1019,15.6,9.8,110.2,9.5,6,,2021-08-04T05:47:37,2021-08-04T20:04:57,0.87,Clear,Clear conditions throughout the day.,clear-day,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2021-08-05,85.6,67.1,77.1,83.5,67.1,76.6,55.6,49.8,0,0,0,,0,0,26.4,12.7,200.3,1017.8,38.4,9.6,121.8,10.5,8,,2021-08-05T05:48:38,2021-08-05T20:03:44,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2021-08-06,82.1,67.6,76.6,84,67.6,77.2,62.3,61.5,0.204,100,29.17,rain,0,0,30.2,16.8,220.9,1014.5,85.9,9.7,69.3,5.9,3,,2021-08-06T05:49:39,2021-08-06T20:02:29,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2021-08-07,88.3,67.4,78.4,91.4,67.4,80.1,66.6,69,0.001,100,4.17,rain,0,0,20.8,12.1,205.2,1013.9,69.6,9.6,96.9,8.3,4,,2021-08-07T05:50:40,2021-08-07T20:01:12,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2021-08-08,91.3,71.9,80.9,94.9,71.9,82.4,67.7,65.5,0.05,100,20.83,rain,0,0,33,18.9,198.3,1011.2,74.2,9.7,103,8.8,7,,2021-08-08T05:51:42,2021-08-08T19:59:55,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2021-08-09,81.5,71.8,75.9,85.9,71.8,76.5,68.7,78.6,0.313,100,37.5,rain,0,0,29.5,16.5,192.6,1010.1,89.9,9.6,29.3,2.4,1,,2021-08-09T05:52:43,2021-08-09T19:58:36,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2021-08-10,92.9,72.6,81.8,105.1,72.6,86.7,72.5,74.5,0.566,100,16.67,rain,0,0,49.7,31,230,1011.2,82.6,9.4,73.9,6.4,4,,2021-08-10T05:53:45,2021-08-10T19:57:15,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
